iata_code,name,city,state,lat,lon,arr_flights,arr_del15,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
SAN,Theodore Francis Green State Airport,Providence,RI,41.724,-71.42822,713.0,122.0,6941.0,2452.0,339.0,897.0,24.0,3229.0
SAT,Portland International Jetport,Portland,ME,43.64617,-70.30875,917.0,146.0,9122.0,3033.0,279.0,1163.0,0.0,4647.0
SAV,Rapid City Regional Airport,Rapid City,SD,44.04532,-103.05737,164.0,24.0,1387.0,541.0,10.0,263.0,0.0,573.0
SBA,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747,6305.0,1020.0,64635.0,26118.0,4864.0,6536.0,121.0,26996.0
SDF,Richmond International Airport,Richmond,VA,37.50517,-77.31967,2353.0,460.0,29210.0,14286.0,2348.0,2787.0,47.0,9742.0
SEA,Reno/Tahoe International Airport,Reno,NV,39.49858,-119.76806,2424.0,415.0,28592.0,12941.0,1673.0,2594.0,213.0,11171.0
SFO,Greater Rochester International Airport,Rochester,NY,43.11887,-77.67238,202.0,20.0,767.0,477.0,0.0,200.0,0.0,90.0
SJC,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517,5472.0,982.0,55682.0,21903.0,1999.0,10529.0,261.0,20990.0
SLC,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,7395.0,1320.0,80078.0,34428.0,5890.0,10451.0,384.0,28925.0
SMF,San Antonio International Airport,San Antonio,TX,29.53369,-98.46978,6573.0,1297.0,78403.0,34825.0,4385.0,8968.0,471.0,29754.0
SNA,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214,1097.0,257.0,17771.0,7591.0,683.0,1594.0,0.0,7903.0
SRQ,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,34.42621,-119.84037,380.0,97.0,7433.0,3427.0,10.0,682.0,0.0,3314.0
STL,Louisville International Airport (Standiford Field),Louisville,KY,38.17439,-85.736,143.0,32.0,2316.0,1648.0,0.0,121.0,0.0,547.0
SYR,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931,5921.0,1196.0,75058.0,34143.0,4418.0,11432.0,241.0,24824.0
TPA,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,8252.0,1542.0,91559.0,37091.0,6543.0,15536.0,469.0,31920.0
TUL,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901,2152.0,332.0,18539.0,8917.0,575.0,1810.0,44.0,7193.0
TUS,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,4075.0,940.0,58074.0,24941.0,3334.0,8101.0,45.0,21653.0
VPS,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077,3370.0,672.0,42301.0,18910.0,3416.0,3890.0,205.0,15880.0
XNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,33.67566,-117.86822,5269.0,744.0,40591.0,18924.0,2831.0,6071.0,175.0,12590.0
BGR,Sarasota-Bradenton International Airport,Sarasota,FL,27.39533,-82.55411,1339.0,242.0,14119.0,5687.0,866.0,2459.0,69.0,5038.0
CAE,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769,-90.35999,4816.0,896.0,53944.0,23375.0,2937.0,5810.0,259.0,21563.0
LBB,Syracuse Hancock International Airport,Syracuse,NY,43.11119,-76.10631,707.0,118.0,6588.0,2563.0,390.0,844.0,22.0,2769.0
ANC,Tampa International Airport,Tampa,FL,27.97547,-82.53325,10440.0,1967.0,118651.0,46575.0,8132.0,19959.0,843.0,43142.0
FAI,Tulsa International Airport,Tulsa,OK,36.19837,-95.88824,2088.0,470.0,30282.0,12593.0,2347.0,2527.0,29.0,12786.0
FCA,Tucson International Airport,Tucson,AZ,32.11608,-110.94103,2734.0,602.0,39515.0,19481.0,1984.0,3328.0,30.0,14692.0
RAP,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254,1182.0,309.0,20549.0,6670.0,1809.0,3329.0,20.0,8721.0
DAB,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681,207.0,29.0,1578.0,630.0,8.0,45.0,0.0,895.0
